"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20094",2193332,44,5,"1",.,"A",6,"E","160","D"
"20094",2193332,44,6,"1",.,"A",36,"E","190","D"
"20094",2193332,44,7,"1",.,"A",18,"E","200","D"
"20094",2193332,44,8,"1",.,"A",35,"E","210","D"
"20094",2193392,40,0,"1",1,"D",.,"H",,"A"
"20094",2193392,40,1,"1",.,"A",13,"E","100","D"
"20094",2193392,40,2,"1",.,"A",2,"E","110","D"
"20094",2193392,40,3,"1",.,"A",7,"E","120","D"
"20094",2193392,40,4,"1",.,"A",39,"E","130","D"
"20094",2193392,40,5,"1",.,"A",1,"E","140","D"
"20094",2193392,40,6,"1",.,"A",24,"E","150","D"
"20094",2193392,40,7,"1",.,"A",2,"E","190","D"
"20094",2193392,40,8,"1",.,"A",7,"E","200","D"
"20094",2193392,40,9,"1",.,"A",5,"E","210","D"
"20094",2193542,38,0,"1",11,"D",.,"H",,"A"
"20094",2193542,38,1,"1",.,"A",900,"E","100","D"
"20094",2193542,38,2,"1",.,"A",200,"E","110","D"
"20094",2194283,56,0,"1",5,"D",.,"H",,"A"
"20094",2194283,56,1,"1",.,"A",361,"E","100","D"
"20094",2194283,56,2,"1",.,"A",150,"E","110","D"
"20094",2194283,56,3,"1",.,"A",137,"E","200","D"
"20094",2194283,56,4,"1",.,"A",269,"E","210","D"
"20094",2194283,56,5,"1",.,"A",133,"E","220","D"
"20094",2194353,38,0,"1",1,"D",.,"H",,"A"
"20094",2194353,38,1,"1",.,"A",32,"E","120","D"
"20094",2194353,38,2,"1",.,"A",1,"E","140","D"
"20094",2194353,38,3,"1",.,"A",160,"E","150","D"
"20094",2194353,38,4,"1",.,"A",7,"E","190","D"
"20094",2194534,59,0,"1",2,"D",.,"H",,"A"
"20094",2194534,59,1,"1",.,"A",4,"E","120","D"
"20094",2194534,59,2,"1",.,"A",39,"E","150","D"
"20094",2194534,59,3,"1",.,"A",2,"E","160","D"
"20094",2194534,59,4,"1",.,"A",5,"E","190","D"
"20094",2194922,30,0,"1",1,"D",.,"H",,"A"
"20094",2194922,30,1,"1",.,"A",31,"E","100","D"
"20094",2194922,30,2,"1",.,"A",6,"E","110","D"
"20094",2194922,30,3,"1",.,"A",63,"E","130","D"
"20094",2195053,36,0,"1",1,"D",.,"H",,"A"
"20094",2195053,36,1,"1",.,"A",5,"E","200","D"
"20094",2195053,36,2,"1",.,"A",15,"E","210","D"
"20094",2195514,27,0,"1",1,"D",.,"H",,"A"
"20094",2195514,27,1,"1",.,"A",108,"E","100","D"
"20094",2195514,27,2,"1",.,"A",59,"E","110","D"
"20094",2195514,27,3,"1",.,"A",105,"E","120","D"
"20094",2195514,27,4,"1",.,"A",184,"E","130","D"
"20094",2195514,27,5,"1",.,"A",3,"E","140","D"
"20094",2195514,27,6,"1",.,"A",518,"E","150","D"
"20094",2195514,27,7,"1",.,"A",23,"E","190","D"
"20094",2195534,28,0,"1",1,"D",.,"H",,"A"
"20094",2195534,28,1,"1",.,"A",50,"E","100","D"
"20094",2195534,28,2,"1",.,"A",20,"E","110","D"
"20094",2195575,42,0,"1",1,"D",.,"H",,"A"
"20094",2195575,42,1,"1",.,"A",19,"E","120","D"
"20094",2195575,42,2,"1",.,"A",2,"E","140","D"
"20094",2195575,42,3,"1",.,"A",63,"E","150","D"
"20094",2195575,42,4,"1",.,"A",2,"E","160","D"
"20094",2195575,42,5,"1",.,"A",14,"E","190","D"
"20094",2195704,35,0,"1",1,"D",.,"H",,"A"
"20094",2195704,35,1,"1",.,"A",126,"E","100","D"
"20094",2195704,35,2,"1",.,"A",24,"E","110","D"
"20094",2195833,44,0,"1",1,"D",.,"H",,"A"
"20094",2195833,44,1,"1",.,"A",35,"E","100","D"
"20094",2195833,44,2,"1",.,"A",6,"E","110","D"
"20094",2195833,44,3,"1",.,"A",12,"E","120","D"
"20094",2195833,44,4,"1",.,"A",1,"E","140","D"
"20094",2195833,44,5,"1",.,"A",68,"E","150","D"
"20094",2195833,44,6,"1",.,"A",18,"E","190","D"
"20094",2195833,44,7,"1",.,"A",6,"E","200","D"
"20094",2195833,44,8,"1",.,"A",14,"E","210","D"
"20094",2196132,67,0,"1",4,"D",.,"H",,"A"
"20094",2196132,67,1,"1",.,"A",142,"E","100","D"
"20094",2196132,67,2,"1",.,"A",58,"E","110","D"
"20094",2196144,21,0,"1",6,"D",.,"H",,"A"
"20094",2196144,21,1,"1",.,"A",134,"E","100","D"
"20094",2196144,21,2,"1",.,"A",26,"E","110","D"
"20094",2196433,45,0,"1",1,"D",.,"H",,"A"
"20094",2196433,45,1,"1",.,"A",42,"E","100","D"
"20094",2196433,45,2,"1",.,"A",8,"E","110","D"
"20094",2196513,53,0,"1",2,"D",.,"H",,"A"
"20094",2196513,53,1,"1",.,"A",70,"E","100","D"
"20094",2196513,53,2,"1",.,"A",30,"E","110","D"
"20094",2196575,23,0,"1",1,"D",.,"H",,"A"
"20094",2196575,23,1,"1",.,"A",11,"E","120","D"
"20094",2196575,23,2,"1",.,"A",8,"E","130","D"
"20094",2196575,23,3,"1",.,"A",115,"E","150","D"
"20094",2196575,23,4,"1",.,"A",2,"E","160","D"
"20094",2196575,23,5,"1",.,"A",14,"E","190","D"
"20094",2196882,44,0,"1",1,"D",.,"H",,"A"
"20094",2196882,44,1,"1",.,"A",144,"E","100","D"
"20094",2196882,44,2,"1",.,"A",60,"E","110","D"
"20094",2196882,44,3,"1",.,"A",58,"E","120","D"
"20094",2196882,44,4,"1",.,"A",371,"E","130","D"
"20094",2196882,44,5,"1",.,"A",11,"E","140","D"
"20094",2196882,44,6,"1",.,"A",611,"E","150","D"
"20094",2196882,44,7,"1",.,"A",184,"E","160","D"
"20094",2196882,44,8,"1",.,"A",12,"E","170","D"
"20094",2196882,44,9,"1",.,"A",49,"E","190","D"
"20094",2196923,29,0,"1",1,"D",.,"H",,"A"
"20094",2196923,29,1,"1",.,"A",4,"E","100","D"
"20094",2196923,29,2,"1",.,"A",1,"E","110","D"
"20094",2196982,38,0,"1",1,"D",.,"H",,"A"
"20094",2196982,38,1,"1",.,"A",33,"E","100","D"
"20094",2196982,38,2,"1",.,"A",17,"E","110","D"
"20094",2197174,40,0,"1",1,"D",.,"H",,"A"
"20094",2197174,40,1,"1",.,"A",164,"E","100","D"
"20094",2197174,40,2,"1",.,"A",36,"E","110","D"
"20094",2197222,62,0,"1",1,"D",.,"H",,"A"
"20094",2197222,62,1,"1",.,"A",14,"E","100","D"
"20094",2197222,62,2,"1",.,"A",6,"E","110","D"
"20094",2197523,34,0,"1",1,"D",.,"H",,"A"
"20094",2197523,34,1,"1",.,"A",12,"E","200","D"
"20094",2197523,34,2,"1",.,"A",32,"E","210","D"
"20094",2197523,34,3,"1",.,"A",1,"E","220","D"
"20094",2197882,42,0,"1",1,"D",.,"H",,"A"
"20094",2197882,42,1,"1",.,"A",167,"E","200","D"
"20094",2197882,42,2,"1",.,"A",63,"E","210","D"
"20101",1996005,58,0,"1",6,"D",.,"H",,"A"
"20101",1996005,58,1,"1",.,"A",48,"E","120","D"
"20101",1996005,58,2,"1",.,"A",11,"E","140","D"
"20101",1996005,58,3,"1",.,"A",472,"E","150","D"
"20101",1996005,58,4,"1",.,"A",215,"E","170","D"
"20101",1996005,58,5,"1",.,"A",54,"E","190","D"
"20101",1996575,54,0,"1",8,"D",.,"H",,"A"
"20101",1996575,54,1,"1",.,"A",52,"E","100","D"
"20101",1996575,54,2,"1",.,"A",28,"E","110","D"
"20101",1996815,44,0,"1",1,"D",.,"H",,"A"
"20101",1996815,44,1,"1",.,"A",206,"E","100","D"
"20101",1996815,44,2,"1",.,"A",47,"E","110","D"
"20101",1996815,44,3,"1",.,"A",73,"E","120","D"
"20101",1996815,44,4,"1",.,"A",486,"E","130","D"
"20101",1996815,44,5,"1",.,"A",17,"E","140","D"
"20101",1996815,44,6,"1",.,"A",746,"E","150","D"
"20101",1996815,44,7,"1",.,"A",340,"E","170","D"
"20101",1996815,44,8,"1",.,"A",85,"E","190","D"
"20101",1997005,74,0,"1",1,"D",.,"H",,"A"
"20101",1997005,74,1,"1",.,"A",300,"E","130","D"
"20101",1997505,70,0,"1",1,"D",.,"H",,"A"
"20101",1997505,70,1,"1",.,"A",12,"E","100","D"
"20101",1997505,70,2,"1",.,"A",8,"E","110","D"
"20101",1998585,59,0,"1",1,"D",.,"H",,"A"
"20101",1998585,59,1,"1",.,"A",112,"E","100","D"
"20101",1998585,59,2,"1",.,"A",62,"E","110","D"
"20101",1998585,59,3,"1",.,"A",77,"E","200","D"
"20101",1998585,59,4,"1",.,"A",92,"E","210","D"
"20101",1998585,59,5,"1",.,"A",157,"E","220","D"
"20101",2000355,62,0,"1",1,"D",.,"H",,"A"
"20101",2000355,62,1,"1",.,"A",17,"E","100","D"
"20101",2000355,62,2,"1",.,"A",3,"E","110","D"
"20101",2001845,47,0,"1",1,"D",.,"H",,"A"
"20101",2001845,47,1,"1",.,"A",6,"E","100","D"
"20101",2001845,47,2,"1",.,"A",4,"E","110","D"
"20101",2002745,49,0,"1",1,"D",.,"H",,"A"
"20101",2002745,49,1,"1",.,"A",62,"E","100","D"
"20101",2002745,49,2,"1",.,"A",38,"E","110","D"
"20101",2002855,87,0,"1",2,"D",.,"H",,"A"
"20101",2002855,87,1,"1",.,"A",140,"E","100","D"
"20101",2002855,87,2,"1",.,"A",78,"E","110","D"
"20101",2002855,87,3,"1",.,"A",290,"E","130","D"
"20101",2003885,34,0,"1",10,"D",.,"H",,"A"
"20101",2003885,34,1,"1",.,"A",1867,"D","100","D"
"20101",2003885,34,2,"1",.,"A",620,"D","110","D"
"20101",2003885,34,3,"1",.,"A",915,"D","120","D"
"20101",2003885,34,4,"1",.,"A",2252,"T","130","D"
"20101",2003885,34,5,"1",.,"A",147,"D","140","D"
"20101",2003885,34,6,"1",.,"A",5633,"D","150","D"
"20101",2003885,34,7,"1",.,"A",539,"D","170","D"
"20101",2003885,34,8,"1",.,"A",527,"D","190","D"
"20101",2003935,55,0,"1",2,"D",.,"H",,"A"
"20101",2003935,55,1,"1",.,"A",2,"E","200","D"
"20101",2003935,55,2,"1",.,"A",4,"E","210","D"
"20101",2003935,55,3,"1",.,"A",4,"E","220","D"
"20101",2005055,109,0,"1",1,"D",.,"H",,"A"
"20101",2005055,109,1,"1",.,"A",104,"E","100","D"
"20101",2005055,109,2,"1",.,"A",24,"E","110","D"
"20101",2005055,109,3,"1",.,"A",94,"E","200","D"
"20101",2005055,109,4,"1",.,"A",86,"E","210","D"
"20101",2005055,109,5,"1",.,"A",72,"E","220","D"
"20101",2005215,55,0,"1",1,"D",.,"H",,"A"
"20101",2005215,55,1,"1",.,"A",16,"E","100","D"
"20101",2005215,55,2,"1",.,"A",3,"E","110","D"
"20101",2005215,55,3,"1",.,"A",6,"E","120","D"
"20101",2005215,55,4,"1",.,"A",43,"E","130","D"
"20101",2005215,55,5,"1",.,"A",1,"E","140","D"
"20101",2005215,55,6,"1",.,"A",61,"E","150","D"
"20101",2005215,55,7,"1",.,"A",28,"E","170","D"
"20101",2005215,55,8,"1",.,"A",7,"E","190","D"
"20101",2005355,40,0,"1",1,"D",.,"H",,"A"
"20101",2005355,40,1,"1",.,"A",16,"E","100","D"
"20101",2005355,40,2,"1",.,"A",14,"E","110","D"
"20101",2005355,40,3,"1",.,"A",21,"E","120","D"
"20101",2005355,40,4,"1",.,"A",87,"E","150","D"
"20101",2005355,40,5,"1",.,"A",1,"E","160","D"
"20101",2005355,40,6,"1",.,"A",11,"E","190","D"
"20101",2005875,65,0,"1",1,"D",.,"H",,"A"
"20101",2005875,65,1,"1",.,"A",9,"E","200","D"
"20101",2005875,65,2,"1",.,"A",8,"E","210","D"
"20101",2005875,65,3,"1",.,"A",8,"E","220","D"
"20101",2005945,30,0,"1",5,"D",.,"H",,"A"
"20101",2005945,30,1,"1",.,"A",384,"E","100","D"
"20101",2005945,30,2,"1",.,"A",216,"E","110","D"
"20101",2005965,66,0,"1",2,"D",.,"H",,"A"
"20101",2005965,66,1,"1",.,"A",166,"E","100","D"
"20101",2005965,66,2,"1",.,"A",38,"E","110","D"
"20101",2005965,66,3,"1",.,"A",392,"E","130","D"
"20101",2005965,66,4,"1",.,"A",151,"E","200","D"
"20101",2005965,66,5,"1",.,"A",138,"E","210","D"
"20101",2005965,66,6,"1",.,"A",115,"E","220","D"
"20101",2006195,103,0,"1",2,"D",.,"H",,"A"
"20101",2006195,103,1,"1",.,"A",8,"E","120","D"
"20101",2006195,103,2,"1",.,"A",4,"E","140","D"
"20101",2006195,103,3,"1",.,"A",57,"E","150","D"
"20101",2006195,103,4,"1",.,"A",6,"E","190","D"
"20101",2006195,103,5,"1",.,"A",5,"E","200","D"
"20101",2007205,69,0,"1",4,"D",.,"H",,"A"
"20101",2007205,69,1,"1",.,"A",122,"E","100","D"
"20101",2007205,69,2,"1",.,"A",28,"E","110","D"
"20101",2007965,50,0,"1",2,"D",.,"H",,"A"
"20101",2007965,50,1,"1",.,"A",17,"E","100","D"
"20101",2007965,50,2,"1",.,"A",8,"E","110","D"
"20101",2008305,71,0,"1",1,"D",.,"H",,"A"
"20101",2008305,71,1,"1",.,"A",155,"E","100","D"
"20101",2008305,71,2,"1",.,"A",35,"E","110","D"
"20101",2008305,71,3,"1",.,"A",55,"E","120","D"
"20101",2008305,71,4,"1",.,"A",364,"E","130","D"
"20101",2008305,71,5,"1",.,"A",13,"E","140","D"
"20101",2008305,71,6,"1",.,"A",559,"E","150","D"
"20101",2008305,71,7,"1",.,"A",255,"E","170","D"
"20101",2008305,71,8,"1",.,"A",64,"E","190","D"
"20101",2008435,70,0,"1",1,"D",.,"H",,"A"
"20101",2008435,70,1,"1",.,"A",107,"E","100","D"
"20101",2008435,70,2,"1",.,"A",48,"E","110","D"
"20101",2008435,70,3,"1",.,"A",201,"E","200","D"
"20101",2008435,70,4,"1",.,"A",144,"E","210","D"
"20101",2008485,76,0,"1",1,"D",.,"H",,"A"
"20101",2008485,76,1,"1",.,"A",16,"E","200","D"
"20101",2008485,76,2,"1",.,"A",13,"E","210","D"
"20101",2008485,76,3,"1",.,"A",11,"E","220","D"
"20101",2008695,91,0,"1",1,"D",.,"H",,"A"
"20101",2008695,91,1,"1",.,"A",107,"E","200","D"
"20101",2008695,91,2,"1",.,"A",78,"E","210","D"
"20101",2008695,91,3,"1",.,"A",115,"E","220","D"
"20101",2009055,37,0,"1",1,"D",.,"H",,"A"
"20101",2009055,37,1,"1",.,"A",17,"E","100","D"
"20101",2009055,37,2,"1",.,"A",7,"E","110","D"
"20101",2009055,37,3,"1",.,"A",7,"E","120","D"
"20101",2009055,37,4,"1",.,"A",1,"E","140","D"
"20101",2009055,37,5,"1",.,"A",35,"E","150","D"
"20101",2009055,37,6,"1",.,"A",2,"E","170","D"
"20101",2009055,37,7,"1",.,"A",39,"E","180","D"
"20101",2009055,37,8,"1",.,"A",5,"E","190","D"
"20101",2009055,37,9,"1",.,"A",4,"E","200","D"
"20101",2009055,37,10,"1",.,"A",3,"E","210","D"
"20101",2009755,58,0,"1",1,"D",.,"H",,"A"
"20101",2009755,58,1,"1",.,"A",21,"E","100","D"
"20101",2009755,58,2,"1",.,"A",10,"E","110","D"
"20101",2009755,58,3,"1",.,"A",14,"E","120","D"
"20101",2009755,58,4,"1",.,"A",3,"E","140","D"
"20101",2009755,58,5,"1",.,"A",78,"E","150","D"
"20101",2009755,58,6,"1",.,"A",14,"E","190","D"
"20101",2010115,38,0,"1",1,"D",.,"H",,"A"
"20101",2010115,38,1,"1",.,"A",10,"E","120","D"
"20101",2010115,38,2,"1",.,"A",1,"E","140","D"
"20101",2010115,38,3,"1",.,"A",56,"E","150","D"
"20101",2010115,38,4,"1",.,"A",26,"E","160","D"
"20101",2010115,38,5,"1",.,"A",19,"E","170","D"
"20101",2010115,38,6,"1",.,"A",2,"E","180","D"
"20101",2010115,38,7,"1",.,"A",6,"E","190","D"
"20101",2010545,56,0,"1",2,"D",.,"H",,"A"
"20101",2010545,56,1,"1",.,"A",35,"E","100","D"
"20101",2010545,56,2,"1",.,"A",15,"E","110","D"
"20101",2010585,52,0,"1",1,"D",.,"H",,"A"
"20101",2010585,52,1,"1",.,"A",53,"E","200","D"
"20101",2010585,52,2,"1",.,"A",66,"E","210","D"
"20101",2010585,52,3,"1",.,"A",109,"E","220","D"
"20101",2011295,53,0,"1",1,"D",.,"H",,"A"
"20101",2011295,53,1,"1",.,"A",12,"E","100","D"
"20101",2011295,53,2,"1",.,"A",8,"E","110","D"
"20101",2011635,40,0,"1",1,"D",.,"H",,"A"
"20101",2011635,40,1,"1",.,"A",43,"E","120","D"
"20101",2011635,40,2,"1",.,"A",9,"E","140","D"
"20101",2011635,40,3,"1",.,"A",413,"E","150","D"
"20101",2011635,40,4,"1",.,"A",188,"E","170","D"
"20101",2011635,40,5,"1",.,"A",47,"E","190","D"
"20101",2012405,43,0,"1",1,"D",.,"H",,"A"
"20101",2012405,43,1,"1",.,"A",30,"E","100","D"
"20101",2012405,43,2,"1",.,"A",17,"E","110","D"
"20101",2012405,43,3,"1",.,"A",24,"E","200","D"
"20101",2012405,43,4,"1",.,"A",25,"E","210","D"
"20101",2012405,43,5,"1",.,"A",44,"E","220","D"
"20101",2013615,68,0,"1",3,"D",.,"H",,"A"
"20101",2013615,68,1,"1",.,"A",20,"E","100","D"
"20101",2013615,68,2,"1",.,"A",3,"E","110","D"
"20101",2013615,68,3,"1",.,"A",5,"E","120","D"
"20101",2013615,68,4,"1",.,"A",1,"E","140","D"
"20101",2013615,68,5,"1",.,"A",55,"E","150","D"
"20101",2013615,68,6,"1",.,"A",25,"E","170","D"
"20101",2013615,68,7,"1",.,"A",6,"E","190","D"
"20101",2013615,68,8,"1",.,"A",13,"E","200","D"
"20101",2013615,68,9,"1",.,"A",12,"E","210","D"
"20101",2013615,68,10,"1",.,"A",10,"E","220","D"
"20101",2013885,109,0,"1",1,"D",.,"H",,"A"
"20101",2013885,109,1,"1",.,"A",57,"E","100","D"
"20101",2013885,109,2,"1",.,"A",13,"E","110","D"
"20101",2013945,31,0,"1",1,"D",.,"H",,"A"
"20101",2013945,31,1,"1",.,"A",30,"E","100","D"
"20101",2013945,31,2,"1",.,"A",23,"E","110","D"
"20101",2013945,31,3,"1",.,"A",35,"E","120","D"
"20101",2013945,31,4,"1",.,"A",141,"E","150","D"
"20101",2013945,31,5,"1",.,"A",1,"E","160","D"
"20101",2013945,31,6,"1",.,"A",1,"E","170","D"
"20101",2013945,31,7,"1",.,"A",19,"E","190","D"
"20101",2016695,58,0,"1",1,"D",.,"H",,"A"
"20101",2016695,58,1,"1",.,"A",100,"E","130","D"
"20101",2017105,53,0,"1",5,"D",.,"H",,"A"
"20101",2017105,53,1,"1",.,"A",1085,"E","130","D"
"20101",2017365,33,0,"1",1,"D",.,"H",,"A"
"20101",2017365,33,1,"1",.,"A",14,"E","200","D"
"20101",2017365,33,2,"1",.,"A",11,"E","210","D"
"20101",2017365,33,3,"1",.,"A",15,"E","220","D"
"20101",2017825,61,0,"1",2,"D",.,"H",,"A"
"20101",2017825,61,1,"1",.,"A",192,"E","100","D"
"20101",2017825,61,2,"1",.,"A",126,"E","110","D"
"20101",2017825,61,3,"1",.,"A",71,"E","120","D"
"20101",2017825,61,4,"1",.,"A",17,"E","140","D"
"20101",2017825,61,5,"1",.,"A",489,"E","150","D"
"20101",2017825,61,6,"1",.,"A",56,"E","190","D"
"20101",2017825,61,7,"1",.,"A",49,"E","200","D"
"20101",2018055,44,0,"1",1,"D",.,"H",,"A"
"20101",2018055,44,1,"1",.,"A",11,"E","100","D"
"20101",2018055,44,2,"1",.,"A",7,"E","110","D"
"20101",2018055,44,3,"1",.,"A",10,"E","120","D"
"20101",2018055,44,4,"1",.,"A",44,"E","150","D"
"20101",2018055,44,5,"1",.,"A",6,"E","190","D"
"20101",2018135,84,0,"1",1,"D",.,"H",,"A"
"20101",2018135,84,1,"1",.,"A",40,"E","100","D"
"20101",2018135,84,2,"1",.,"A",9,"E","110","D"
"20101",2018135,84,3,"1",.,"A",17,"E","120","D"
"20101",2018135,84,4,"1",.,"A",97,"E","130","D"
"20101",2018135,84,5,"1",.,"A",3,"E","140","D"
"20101",2018135,84,6,"1",.,"A",149,"E","150","D"
"20101",2018135,84,7,"1",.,"A",68,"E","170","D"
"20101",2018135,84,8,"1",.,"A",17,"E","190","D"
"20101",2018274,55,0,"1",16,"D",.,"H",,"A"
"20101",2018274,55,1,"1",.,"A",206,"E","100","D"
"20101",2018274,55,2,"1",.,"A",94,"E","110","D"
"20101",2019715,35,0,"1",1,"D",.,"H",,"A"
"20101",2019715,35,1,"1",.,"A",185,"E","100","D"
"20101",2019715,35,2,"1",.,"A",115,"E","110","D"
"20101",2020734,32,0,"1",1,"D",.,"H",,"A"
"20101",2020734,32,1,"1",.,"A",25,"E","100","D"
"20101",2020734,32,2,"1",.,"A",15,"E","110","D"
"20101",2021204,51,0,"1",2,"D",.,"H",,"A"
"20101",2021204,51,1,"1",.,"A",4,"E","100","D"
"20101",2021204,51,2,"1",.,"A",3,"E","110","D"
"20101",2021204,51,3,"1",.,"A",10,"E","120","D"
"20101",2021204,51,4,"1",.,"A",22,"E","150","D"
"20101",2021204,51,5,"1",.,"A",3,"E","190","D"
"20101",2021204,51,6,"1",.,"A",2,"E","200","D"
"20101",2021204,51,7,"1",.,"A",4,"E","210","D"
"20101",2021204,51,8,"1",.,"A",2,"E","220","D"
"20101",2021554,30,0,"1",1,"D",.,"H",,"A"
"20101",2021554,30,1,"1",.,"A",160,"E","100","D"
"20101",2021554,30,2,"1",.,"A",90,"E","110","D"
"20101",2022324,83,0,"1",1,"D",.,"H",,"A"
"20101",2022324,83,1,"1",.,"A",647,"E","100","D"
"20101",2022324,83,2,"1",.,"A",153,"E","110","D"
"20101",2023694,90,0,"1",2,"D",.,"H",,"A"
"20101",2023694,90,1,"1",.,"A",26,"E","100","D"
"20101",2023694,90,2,"1",.,"A",17,"E","110","D"
"20101",2023694,90,3,"1",.,"A",7,"E","200","D"
"20101",2023765,23,0,"1",1,"D",.,"H",,"A"
"20101",2023765,23,1,"1",.,"A",7,"E","100","D"
"20101",2023765,23,2,"1",.,"A",3,"E","110","D"
"20101",2023844,113,0,"1",2,"D",.,"H",,"A"
"20101",2023844,113,1,"1",.,"A",81,"E","100","D"
"20101",2023844,113,2,"1",.,"A",19,"E","110","D"
"20101",2023864,54,0,"1",1,"D",.,"H",,"A"
"20101",2023864,54,1,"1",.,"A",269,"E","100","D"
"20101",2023864,54,2,"1",.,"A",63,"E","110","D"
"20101",2023864,54,3,"1",.,"A",97,"E","120","D"
"20101",2023864,54,4,"1",.,"A",23,"E","140","D"
"20101",2023864,54,5,"1",.,"A",986,"E","150","D"
"20101",2023864,54,6,"1",.,"A",449,"E","170","D"
"20101",2023864,54,7,"1",.,"A",113,"E","190","D"
"20101",2024244,51,0,"1",1,"D",.,"H",,"A"
"20101",2024244,51,1,"1",.,"A",58,"E","200","D"
"20101",2024244,51,2,"1",.,"A",42,"E","210","D"
"20101",2025375,55,0,"1",1,"D",.,"H",,"A"
"20101",2025375,55,1,"1",.,"A",62,"E","100","D"
"20101",2025375,55,2,"1",.,"A",38,"E","110","D"
"20101",2025724,51,0,"1",1,"D",.,"H",,"A"
"20101",2025724,51,1,"1",.,"A",4,"E","100","D"
"20101",2025724,51,2,"1",.,"A",1,"E","110","D"
"20101",2025724,51,3,"1",.,"A",7,"E","120","D"
"20101",2025724,51,4,"1",.,"A",18,"E","150","D"
"20101",2025724,51,5,"1",.,"A",1,"E","160","D"
"20101",2025724,51,6,"1",.,"A",2,"E","170","D"
"20101",2025724,51,7,"1",.,"A",1,"E","180","D"
"20101",2025724,51,8,"1",.,"A",1,"E","190","D"
"20101",2026744,80,0,"1",1,"D",.,"H",,"A"
"20101",2026744,80,1,"1",.,"A",221,"E","130","D"
"20101",2026744,80,2,"1",.,"A",85,"E","200","D"
"20101",2026744,80,3,"1",.,"A",78,"E","210","D"
"20101",2026744,80,4,"1",.,"A",66,"E","220","D"
"20101",2028174,68,0,"1",16,"D",.,"H",,"A"
"20101",2028174,68,1,"1",.,"A",57,"E","100","D"
"20101",2028174,68,2,"1",.,"A",12,"E","110","D"
"20101",2028174,68,3,"1",.,"A",19,"E","120","D"
"20101",2028174,68,4,"1",.,"A",4,"E","140","D"
"20101",2028174,68,5,"1",.,"A",197,"E","150","D"
"20101",2028174,68,6,"1",.,"A",89,"E","170","D"
"20101",2028174,68,7,"1",.,"A",22,"E","190","D"
"20101",2028894,29,0,"1",1,"D",.,"H",,"A"
"20101",2028894,29,1,"1",.,"A",8,"E","120","D"
"20101",2028894,29,2,"1",.,"A",27,"E","150","D"
"20101",2028894,29,3,"1",.,"A",13,"E","160","D"
"20101",2028894,29,4,"1",.,"A",9,"E","170","D"
"20101",2028894,29,5,"1",.,"A",1,"E","180","D"
"20101",2028894,29,6,"1",.,"A",3,"E","190","D"
"20101",2029145,48,0,"1",2,"D",.,"H",,"A"
"20101",2029145,48,1,"1",.,"A",80,"E","100","D"
"20101",2029145,48,2,"1",.,"A",70,"E","110","D"
"20101",2029564,46,0,"1",1,"D",.,"H",,"A"
"20101",2029564,46,1,"1",.,"A",7,"E","120","D"
"20101",2029564,46,2,"1",.,"A",12,"E","150","D"
"20101",2029564,46,3,"1",.,"A",1,"E","170","D"
"20101",2030084,45,0,"1",1,"D",.,"H",,"A"
"20101",2030084,45,1,"1",.,"A",29,"E","200","D"
"20101",2030084,45,2,"1",.,"A",21,"E","210","D"
"20101",2030525,43,0,"1",2,"D",.,"H",,"A"
"20101",2030525,43,1,"1",.,"A",61,"E","100","D"
"20101",2030525,43,2,"1",.,"A",32,"E","110","D"
"20101",2030525,43,3,"1",.,"A",43,"E","120","D"
"20101",2030525,43,4,"1",.,"A",9,"E","140","D"
"20101",2030525,43,5,"1",.,"A",244,"E","150","D"
"20101",2030525,43,6,"1",.,"A",1,"E","170","D"
"20101",2030525,43,7,"1",.,"A",45,"E","190","D"
"20101",2030984,58,0,"1",1,"D",.,"H",,"A"
"20101",2030984,58,1,"1",.,"A",128,"E","100","D"
"20101",2030984,58,2,"1",.,"A",72,"E","110","D"
"20101",2031334,46,0,"1",2,"D",.,"H",,"A"
"20101",2031334,46,1,"1",.,"A",64,"E","100","D"
"20101",2031334,46,2,"1",.,"A",36,"E","110","D"
"20101",2031624,25,0,"1",1,"D",.,"H",,"A"
"20101",2031624,25,1,"1",.,"A",72,"E","100","D"
"20101",2031624,25,2,"1",.,"A",47,"E","110","D"
"20101",2031624,25,3,"1",.,"A",281,"E","130","D"
"20101",2031804,68,0,"1",1,"D",.,"H",,"A"
"20101",2031804,68,1,"1",.,"A",28,"E","100","D"
"20101",2031804,68,2,"1",.,"A",24,"E","110","D"
"20101",2031804,68,3,"1",.,"A",42,"E","120","D"
"20101",2031804,68,4,"1",.,"A",148,"E","150","D"
"20101",2031804,68,5,"1",.,"A",1,"E","160","D"
"20101",2031804,68,6,"1",.,"A",1,"E","170","D"
"20101",2031804,68,7,"1",.,"A",20,"E","190","D"
"20101",2031804,68,8,"1",.,"A",19,"E","200","D"
"20101",2031804,68,9,"1",.,"A",33,"E","210","D"
"20101",2031804,68,10,"1",.,"A",19,"E","220","D"
"20101",2031854,67,0,"1",9,"D",.,"H",,"A"
"20101",2031854,67,1,"1",.,"A",11,"E","200","D"
"20101",2031854,67,2,"1",.,"A",15,"E","210","D"
"20101",2031854,67,3,"1",.,"A",24,"E","220","D"
"20101",2031904,49,0,"1",1,"D",.,"H",,"A"
